QDepth, Requests, Benchmark Time, Benchmark Latency, Request Time, Request Latency, BW
1,1000000,21431387777,21431,20837701647,20837,191121547
2,1000000,5995090848,5995,11623086946,11623,683225676
8,1000000,5651894011,5651,44765729139,44765,724712811
16,1000000,5609757112,5609,89194456040,89194,730156389
32,1000000,5645567618,5645,179888810507,179888,725524920
64,1000000,5620678769,5620,358525318352,358525,728737607
128,1000000,5711281621,5711,728802412927,728802,717177031
256,1000000,5704572014,5704,1456546140211,1456546,718020561
512,1000000,5703024708,5703,2913182962248,2913182,718215369
1024,1000000,5866664301,5866,5993206688131,5993206,698182099
